Reference;DistributionStatus;wdDistributionStatusCountryCode;CountryOrigin;wdCountryOriginCountryCode;NotificationFrom;wdNotificationFromCountryCode;DateOfCase;LastUpdate;Classifications;ActionTaken;Product;ProductCategory;RiskDecision;HazardSubstance;HazardAnalyticalResult;HazardUnits;HazardSamplingDate;Subject.description,,,,,,,,
2013.ANW;Spain;Q29;Morocco;Q1028;Spain;Q29;26/02/2013;15/01/2018;food  -  border rejection  -  border control - consignment detained;destruction;frozen cuttlefish and squid (Sepia officinalis);fish and fish products;not serious;suspicion of attempt to illegally import;;;;absence of health certificate(s) for and suspicion of attempt to illegally import frozen cuttlefish and squid (Sepia officinalis) from Morocco,,,,,,,,
20.183.043;Spain;Q29;South Africa;Q258;Portugal;Q45;29/10/2018;19/11/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;frozen hake fillets;fish and fish products;not serious;improper health certificate(s);labelled approval number does not match the one on the certificate;;;improper health certificate(s) (labelled approval number does not match the one on the certificate) for frozen hake fillets from South Africa,,,,,,,,
2015.ATG;Spain;Q29;Vietnam;Q881;Spain;Q29;27/04/2015;27/04/2015;food  -  border rejection  -  border control - consignment detained;import not authorised;frozen cooked clams;bivalve molluscs and products thereof;not serious;improper import declaration;product not heat-treated;;;improper import declaration (product not heat-treated) for frozen cooked clams from Vietnam,,,,,,,,
2013.BHE;Spain;Q29;Ecuador;Q736;Spain;Q29;10/07/2013;07/08/2013;food  -  border rejection  -  border control - consignment detained;destruction;frozen hake (Merluccius);fish and fish products;not serious;fraudulent health certificate(s);;;05/07/2013;fraudulent health certificate(s) for frozen hake (Merluccius) from Ecuador,,,,,,,,
2006.BWI;Spain;Q29;South Korea;Q884;Spain;Q29;11/08/2006;;food  -  information  -  border control - consignment detained;destruction;frozen whole baby clams (Venerupis variegata);bivalve molluscs and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen whole baby clams (Venerupis variegata) from the Republic of Korea,,,,,,,,
2006.BZP;Spain;Q29;South Korea;Q884;Spain;Q29;31/08/2006;;food  -  information  -  border control - consignment detained;destruction;frozen baby clam (Venerupis variegata);bivalve molluscs and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen baby clam (Venerupis variegata) from the Republic of Korea,,,,,,,,
2012.BYX;Spain;Q29;Ecuador;Q736;Spain;Q29;04/10/2012;07/12/2012;food  -  border rejection  -  border control - consignment detained;destruction;canned sardines in tomato sauce;fish and fish products;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for canned sardines in tomato sauce from Ecuador,,,,,,,,
20.180.191;Spain;Q29;Mauritania;Q1025;Spain;Q29;24/01/2018;05/02/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;frozen fishery products;fish and fish products;not serious;suspicion of fraud;octopus in place of squids;;;poor temperature control (-11.9 °C) of and suspicion of fraud (octopus in place of squids) in relation to frozen fishery products from Mauritania,,,,,,,,
20.183.051;Spain;Q29;South Africa;Q258;Portugal;Q45;29/10/2018;19/11/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;frozen monkfish;fish and fish products;not serious;improper health certificate(s);labelled approval number does not match the one on the certificate;;;improper health certificate(s) (labelled approval number does not match the one on the certificate) for frozen monkfish from South Africa,,,,,,,,
2006.BZK;Spain;Q29;South Korea;Q884;Spain;Q29;30/08/2006;;food  -  information  -  border control - consignment detained;destruction;frozen whole baby clam;bivalve molluscs and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen whole baby clam from the Republic of Korea,,,,,,,,
2010.BVF;Spain;Q29;Ecuador;Q736;Spain;Q29;25/10/2010;25/10/2010;food  -  border rejection  -  border control - consignment detained;destruction;frozen jumbo squid (Dosidicus gigas) and frozen shark (Alopias pelagicus);other food product / mixed;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen jumbo squid (Dosidicus gigas) and frozen shark (Alopias pelagicus) from Ecuador,,,,,,,,
20.070.049;Spain;Q29;Thailand;Q869;Germany;Q183;22/01/2007;04/02/2019;food  -  alert  -  official control on the market;official detention;shrimp paste;crustaceans and products thereof;undecided;paraffin;presence;;15/11/2007;paraffin (presence) in shrimp paste from Thailand, via the Netherlands,,,,,,,
2012.BZC;Spain;Q29;Morocco;Q1028;Spain;Q29;08/10/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;frozen cuttlefish (Sepia officinalis);bivalve molluscs and products thereof;undecided;absence of health certificate(s);;;;absence of health certificate(s) for frozen cuttlefish (Sepia officinalis) from Morocco,,,,,,,,
20.182.639;Spain;Q29;Thailand;Q869;Norway;Q20;21/09/2018;11/07/2019;food  -  information for attention  -  official control on the market;destruction;collagen casings;other food product / mixed;not serious;illegal import;;;;illegal import of collagen casings from Thailand, with raw material from Spain,,,,,,,
2009.BUY;Spain;Q29;Turkey;Q43;Spain;Q29;19/10/2009;19/10/2009;food  -  border rejection  -  border control - consignment detained;destruction;frozen clams;bivalve molluscs and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen clams from Turkey,,,,,,,,
2010.BBI;Spain;Q29;Ecuador;Q736;Spain;Q29;17/06/2010;19/08/2010;food  -  border rejection  -  border control - consignment detained;destruction;prawns, whole shrimps and frozen shrimp tails;crustaceans and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for prawns, whole shrimps and frozen shrimp tails from Ecuador,,,,,,
20.183.203;Spain;Q29;Namibia;Q1030;Portugal;Q45;08/11/2018;19/11/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;frozen blue shark;fish and fish products;undecided;improper health certificate(s);labelled approval number does not match the one on the certificate;;;improper health certificate(s) (labelled approval number does not match the one on the certificate) for frozen blue shark from Namibia,,,,,,,,
20.183.199;Spain;Q29;Namibia;Q1030;Portugal;Q45;08/11/2018;16/11/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;frozen blue shark (Prionace glauca), shortfin mako shark (Isurus oxyrinchus), swordfish (Xiphias gladius);fish and fish products;not serious;improper health certificate(s);labelled approval number does not match the one on the certificate;;;improper health certificate(s) (labelled approval number does not match the one on the certificate) for frozen blue shark (Prionace glauca), shortfin mako shark (Isurus oxyrinchus), swordfish (Xiphias gladius) from Namibia,,,,
2012.BEH;Spain;Q29;South Africa;Q258;Spain;Q29;04/06/2012;12/01/2018;feed  -  border rejection  -  border control - consignment detained;re-dispatch;fish meal;feed materials;undecided;improper health certificate(s);batchnumbers were not the same between product and documents;;;improper health certificate(s) (batchnumbers were not the same between product and documents) for fish meal from South Africa,,,,,,,,
2004.ATF;Spain;Q29;Mexico;Q96;Germany;Q183;05/04/2004;;Food  -  information  -  official control on the market;(obsolete);red wine;wine;undecided;monoethylene glycol (MEG);23-26;mg/l;19/03/2004;monoethylene glycol (MEG) (23-26 mg/l) in red wine,,,,,,,,
20.130.484;Spain;Q29;United Kingdom;Q145;Czech Republic;Q213;05/04/2013;30/04/2013;food  -  information for follow-up  -  official control on the market;official detention;frozen diced beef steak;meat and meat products (other than poultry);not serious;adulteration;presence of horse DNA: >1;%;08/03/2013;adulteration (presence of horse DNA: >1 %) of frozen diced beef steak from the United Kingdom,,,,,,,,
20.130.096;Spain;Q29;Sweden;Q34;Sweden;Q34;28/01/2013;06/12/2013;food  -  information for attention  -  company's own check;withdrawal from the market;frozen breaded prefried fish;fish and fish products;serious;suspicion of fraud;falsified analytical reports;;;undeclared milk ingredient in and suspicion of fraud (falsified analytical reports) in relation to frozen breaded prefried fish from Sweden, with raw material from the Faeroe Islands,,,,,,,
2004.AQJ;Spain;Q29;Mexico;Q96;Germany;Q183;18/03/2004;;Food  -  information  -  border control - consignment detained;re-dispatch;red wine;wine;undecided;monoethylene glycol (MEG);83-90;mg/l;26/01/2004;monoethylene glycol (MEG) (83-90 mg/l) in red wine,,,,,,,,
2013.BGD;Spain;Q29;Ecuador;Q736;Spain;Q29;04/07/2013;07/08/2013;food  -  border rejection  -  border control - consignment detained;destruction;hake (Merluccius spp);fish and fish products;not serious;illegal import;false certificate;;;illegal import (false certificate) of hake (Merluccius spp) from Ecuador,,,,,,,,
20.183.043;Spain;Q29;South Africa;Q258;Portugal;Q45;29/10/2018;19/11/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;frozen hake fillets;fish and fish products;not serious;improper health certificate(s);labelled approval number does not match the one on the certificate;;;improper health certificate(s) (labelled approval number does not match the one on the certificate) for frozen hake fillets from South Africa,,,,,,,,
2015.BLI;Spain;Q29;Senegal;Q1041;Spain;Q29;11/09/2015;11/09/2015;food  -  border rejection  -  border control - consignment detained;import not authorised;frozen common sole (Solea spp) and monkfish (Lophius spp);fish and fish products;not serious;attempt to illegally import;;;20/08/2015;attempt to illegally import frozen common sole (Solea spp) and monkfish (Lophius spp) from Senegal,,,,,,,,
2012.AIB;Sweden;Q34;Turkey;Q43;Sweden;Q34;01/02/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;hazelnut kernels;nuts, nut products and seeds;undecided;absence of health certificate(s);;;;absence of health certificate(s) for hazelnut kernels from Turkey,,,,,,,
20.111.894;Sweden;Q34;Latvia;Q211;Sweden;Q34;22/12/2011;28/12/2011;food  -  information for follow-up  -  official control on the market;withdrawal from the market;eggs;eggs and egg products;undecided;suspicion of fraudulent health certificate(s);;;;suspicion of fraudulent health certificate(s) for eggs from Latvia,,,,,,,,
2003.BOQ;Sweden;Q34;Vietnam;Q881;Sweden;Q34;14/08/2003;31/05/2017;Food  -  information  -  border control - consignment detained;destruction;squid sausages;molluscs and products thereof - (obsolete);undecided;absence of health certificate(s);;;;absence of health certificate(s) for squid sausages from Vietnam,,,,,,,,
20.110.555;Sweden;Q34;Turkey;Q43;Denmark;Q35;28/04/2011;02/05/2011;food  -  information for follow-up  -  official control on the market;withdrawal from the market;roasted hazelnuts and roasted mixed nuts;nuts, nut products and seeds;undecided;unauthorised import;;;;unauthorised import of roasted hazelnuts and roasted mixed nuts from Turkey,,,,,,,
2015.BHC;Sweden;Q34;Bangladesh;Q902;Sweden;Q34;06/08/2015;06/08/2015;food  -  border rejection  -  border control - consignment detained;destruction;betel leaves;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import betel leaves from Bangladesh,,,,,,,,
2011.BFL;Sweden;Q34;United Arab Emirates;Q878;Sweden;Q34;31/05/2011;31/05/2011;food  -  border rejection  -  border control - consignment detained;(obsolete);milk powder;milk and milk products;undecided;attempt to illegally import;;;;attempt to illegally import milk powder from the United Arab Emirates, via Saudi Arabia,,,,,,,
20.130.423;Sweden;Q34;Poland;Q36;Sweden;Q34;25/03/2013;29/04/2013;food  -  information for follow-up  -  company's own check;withdrawal from the market;frozen roast beef;meat and meat products (other than poultry);not serious;adulteration;horse DNA: 100;%;11/03/2013;adulteration (horse DNA: 100 %) of frozen roast beef from Poland,,,,,,,,
20.130.748;Sweden;Q34;Poland;Q36;Poland;Q36;29/05/2013;06/06/2013;food  -  information for follow-up  -  official control on the market;informing authorities;frozen kebab;meat and meat products (other than poultry);not serious;adulteration;Horse DNA 3;%;05/03/2013;adulteration (Horse DNA 3 %) of frozen kebab from Poland,,,,,,,,
20.070.592;Sweden;Q34;Germany;Q183;Germany;Q183;30/08/2007;17/12/2007;food  -  alert  -  official control on the market;(obsolete);bovine and poultry animal by-products;meat and meat products (other than poultry);undecided;illegal trade;;;;illegal trade of bovine and poultry animal by-products from Germany,,,,,,,,
20.130.277;Sweden;Q34;Ireland;Q27;Sweden;Q34;01/03/2013;19/03/2014;food  -  information for follow-up  -  company's own check;withdrawal from the market;frozen meatballs;meat and meat products (other than poultry);not serious;adulteration;presence of horse DNA: 1 - 5 %;;26/02/2013;adulteration (presence of horse DNA: 1 - 5 %) of frozen meatballs with raw material from Ireland,,,,,,,,
20.090.522;Sweden;Q34;Thailand;Q869;Denmark;Q35;24/04/2009;11/05/2009;food  -  information  -  official control on the market;withdrawal from the market;chicken meat in teriyaki on a stick;poultry meat and poultry meat products;undecided;fraud - expiry dates changed;;;;fraud - expiry dates changed of chicken meat in teriyaki on a stick from Thailand relabelled in Denmark,,,,,,,,
20.130.198;Sweden;Q34;Poland;Q36;Germany;Q183;18/02/2013;11/09/2013;food  -  information for follow-up  -  company's own check;withdrawal from the market;beef goulash;prepared dishes and snacks;not serious;adulteration;detection of horse DNA without proper labelling;;15/02/2013;adulteration (detection of horse DNA without proper labelling) of beef goulash from Germany, with raw material from Germany, the Netherlands, Poland, Belgium and France,,,,
20.182.316;Switzerland;Q39;Sri Lanka;Q854;Switzerland;Q39;16/08/2018;04/10/2018;food  -  information for attention  -  border control - consignment released;informing authorities;chilled raja spp.;fish and fish products;not serious;improper health certificate(s);species verification: Himantura uarnak instead of Raja spp;;19/07/2018;improper health certificate(s) (species verification: Himantura uarnak instead of Raja spp) for chilled raja spp. from Sri Lanka,,,,,,,,
2006.06;Switzerland;Q39;Italy;Q38;Slovenia;Q215;18/09/2006;17/07/2008;food  -  alert  -  official control on the market;(obsolete);extra virgin olive oil;fats and oils;undecided;fraud;non-compliant composition with criteria set;;15/06/2006;altered organoleptic characteristics of and fraud (non-compliant composition with criteria set) with extra virgin olive oil from Italy,,,,,,,,
2015.AUR;Switzerland;Q39;Russia;Q159;Estonia;Q191;06/05/2015;19/05/2015;food  -  border rejection  -  border control - consignment detained;destruction;frozen pork fat;meat and meat products (other than poultry);undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen pork fat dispatched from Russia,,,,,,,,
20.081.259;Switzerland;Q39;South Korea;Q884;Belgium;Q31;14/10/2008;15/03/2010;food  -  information  -  border control - consignment released;official detention;fishery products;fish and fish products;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for fishery products from the Republic of Korea,,,,,,,,
20.130.251;Switzerland;Q39;Liechtenstein;Q347;Slovenia;Q215;26/02/2013;14/03/2013;food  -  information for follow-up  -  official control on the market;withdrawal from the market;tortelloni with meat;prepared dishes and snacks;not serious;adulteration;horse DNA detected above 1%;;19/02/2013;adulteration (horse DNA detected above 1%) of tortelloni with meat from Liechtenstein,,,,,,,,
20.181.885;Switzerland;Q39;Venezuela;Q717;Spain;Q29;06/07/2018;30/07/2018;food  -  information for follow-up  -  consumer complaint;withdrawal from the market;chocolate bars;confectionery;not serious;suspicion of fraud - expiry dates changed;2019 instead of 2018;;;suspicion of fraud - expiry dates changed (2019 instead of 2018) of chocolate bars from Venezuela, via Panama,,,,,,,
20.182.316;Switzerland;Q39;Sri Lanka;Q854;Switzerland;Q39;16/08/2018;04/10/2018;food  -  information for attention  -  border control - consignment released;informing authorities;chilled raja spp.;fish and fish products;not serious;improper health certificate(s);species verification: Himantura uarnak instead of Raja spp;;19/07/2018;improper health certificate(s) (species verification: Himantura uarnak instead of Raja spp) for chilled raja spp. from Sri Lanka,,,,,,,,
20.161.104;Switzerland;Q39;Ukraine;Q212;Germany;Q183;12/08/2016;16/12/2016;feed  -  information for follow-up  -  company's own check;detained by operator;maize;feed materials;undecided;suspicion of adulteration;stained seeds: 0.15;%;04/07/2016;stained seeds (0.15 %) in feed maize from Ukraine, via the Netherlands,,,,,,,
20.130.409;Switzerland;Q39;Italy;Q38;Italy;Q38;21/03/2013;06/05/2013;food  -  information for follow-up  -  official control on the market;withdrawal from the market;chilled ravioli stuffed with meat;prepared dishes and snacks;not serious;adulteration;presence of horse DNA > 1;%;06/03/2013;adulteration (presence of horse DNA > 1 %) of chilled ravioli stuffed with meat from Italy,,,,,,,,
20.161.439;Switzerland;Q39;Italy;Q38;Switzerland;Q39;20/10/2016;21/11/2016;food  -  alert  -  company's own check;recall from consumers;red wine;alcoholic beverages;serious;monoethylene glycol (MEG);85;mg/l;05/10/2016;monoethylene glycol (MEG) (85 mg/l) in red wine from Italy,,,,,,,,
20.141.348;Switzerland;Q39;Thailand;Q869;Switzerland;Q39;03/10/2014;03/10/2014;food  -  information for attention  -  official control on the market;official detention;frozen insects and sausages;other food product / mixed;not serious;illegal import;;;29/08/2014;illegal import of frozen insects and sausages from Thailand,,,,,,,,
2017.BRO;Turkey;Q43;Azerbaijan;Q227;Poland;Q36;19/09/2017;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;hazelnut kernels;nuts, nut products and seeds;not serious;improper health certificate(s);;;13/09/2017;improper health certificate(s) and certified analytical report for hazelnut kernels from Azerbaijan,,,,,,,
2017.CCD;Turkey;Q43;Ecuador;Q736;Belgium;Q31;20/11/2017;14/11/2018;feed  -  border rejection  -  border control - consignment detained;destruction;fish oil;feed materials;not serious;fraudulent health certificate(s);;;;fraudulent health certificate(s) for fish oil from Ecuador, via Turkey,,,,,,,
20.150.439;United Arab Emirates;Q878;Senegal;Q1041;Germany;Q183;07/04/2015;11/05/2015;food  -  alert  -  official control on the market;recall from consumers;monkfish fillets;fish and fish products;serious;pufferfish (Tetraodontidae);;;25/03/2015;puffer fish (Tetraodontidae) in monkfish fillets from Senegal,,,,,,,,
20.182.906;United Arab Emirates;Q878;India;Q668;Greece;Q41;16/10/2018;19/10/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;chilli (crushed and powder);herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for chilli (crushed and powder) from India, via the United Arab Emirates,,,,,,,
2014.AZD;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;16/06/2014;02/07/2014;food  -  border rejection  -  border control - consignment detained;destruction;watermelon seeds;fruits and vegetables;not serious;suspicion of attempt to illegally import;;;;suspicion of attempt to illegally import watermelon seeds from Nigeria,,,,,,,,
2013.CCC;United Kingdom;Q145;India;Q668;United Kingdom;Q145;11/12/2013;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;roasted groundnuts;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for roasted groundnuts from India,,,,,,,
2017.AYJ;United Kingdom;Q145;India;Q668;United Kingdom;Q145;29/05/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;chilli powder;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for chilli powder from India,,,,,,,,
2014.BEZ;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;24/07/2014;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;melon seeds;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for melon seeds from Nigeria,,,,,,,
2017.AMU;United Kingdom;Q145;India;Q668;United Kingdom;Q145;22/03/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;curry leaves;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for curry leaves from India,,,,,,,,
2017.AUI;United Kingdom;Q145;India;Q668;United Kingdom;Q145;05/05/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;nutmeg powder;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for nutmeg powder from India,,,,,,,,
20.181.914;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;09/07/2018;06/08/2018;food  -  border rejection  -  border control - consignment detained;import not authorised;various products of animal origin;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import various products of animal origin from Ghana,,,,,,,
2005.AEG;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;24/01/2005;08/03/2010;Food  -  information  -  border control - consignment detained;re-dispatch;chilli powder;herbs and spices;undecided;attempt to illegally import;;;;illegal import of chilli powder from Ghana,,,,,,,,
20.192.562;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;15/07/2019;19/07/2019;food  -  border rejection  -  border control - consignment detained;import not authorised;smoked fish and crabs;fish and fish products;not serious;attempt to illegally import;;;;attempt to illegally import smoked fish and crabs from Ghana,,,,,,,,
2017.ARK;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;19/04/2017;26/04/2017;food  -  border rejection  -  border control - consignment detained;informing authorities;dried beans;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import dried beans from Nigeria,,,,,,,,
2017.AME;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;17/03/2017;12/09/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;melon seeds (Egusi);nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for melon seeds (Egusi) from Nigeria,,,,,,,
20.182.286;United Kingdom;Q145;India;Q668;United Kingdom;Q145;10/08/2018;26/09/2018;food  -  border rejection  -  border control - consignment detained;destruction;masala;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for masala from India,,,,,,,,
2015.BAX;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;22/06/2015;22/06/2015;food  -  border rejection  -  border control - consignment detained;import not authorised;dried fish and shrimps;fish and fish products;undecided;attempt to illegally import;hidden under carab beans.;;;attempt to illegally import (hidden under carab beans.) dried fish and shrimps from Ghana,,,,,,,,
2017.ATB;United Kingdom;Q145;Ethiopia;Q115;United Kingdom;Q145;27/04/2017;12/01/2018;food  -  border rejection  -  border control - consignment detained;official detention;paprika powder;herbs and spices;not serious;improper health certificate(s);no identification code on the boxes matching the health certificate;;;improper health certificate(s) (no identification code on the boxes matching the health certificate) for paprika powder from Ethiopia,,,,,,,,
20.182.587;United Kingdom;Q145;India;Q668;United Kingdom;Q145;14/09/2018;19/11/2018;food  -  border rejection  -  border control - consignment detained;destruction;Indian spices mix, nutmeg and dried whole red chillies;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for Indian spices mix, nutmeg and dried whole red chillies from India,,,,,,
2017.ADG;United Kingdom;Q145;India;Q668;United Kingdom;Q145;25/01/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;spice mix (Sambhar Masala);herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for spice mix (Sambhar Masala) from India,,,,,,,,
2.005.536;United Kingdom;Q145;Belgium;Q31;Belgium;Q31;26/07/2005;;Food  -  alert  -  official control on the market;seizure;various products;other food product / mixed;undecided;fraud - expiry dates changed;;;;fraud - expiry dates changed of various products from Belgium,,,,,,,,
2017.CFB;United Kingdom;Q145;India;Q668;United Kingdom;Q145;04/12/2017;12/01/2018;food  -  border rejection  -  border control - consignment detained;official detention;okra;fruits and vegetables;not serious;improper health certificate(s);;;;improper health certificate(s) for okra from India, via Ireland,,,,,,,
2014.AGL;United Kingdom;Q145;India;Q668;United Kingdom;Q145;05/02/2014;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;spicy blend of chickpeas flour noodles, groundnuts and rice flakes;prepared dishes and snacks;not serious;absence of health certificate(s);;;;absence of health certificate(s) for spicy blend of chickpeas flour noodles, groundnuts and rice flakes from India,,,,,,
2003.COP;United Kingdom;Q145;Lebanon;Q822;United Kingdom;Q145;04/12/2003;13/06/2017;Food  -  information  -  border control - consignment detained;destruction;honey;honey and royal jelly;undecided;unauthorised import;;;;unauthorised import of honey from Lebanon,,,,,,,,
2014.ANW;United Kingdom;Q145;Bangladesh;Q902;United Kingdom;Q145;27/03/2014;27/03/2014;food  -  border rejection  -  border control - consignment detained;destruction;paan leaves;fruits and vegetables;undecided;attempt to illegally import;;;;attempt to illegally import paan leaves from Bangladesh,,,,,,,,
2015.BNZ;United Kingdom;Q145;India;Q668;United Kingdom;Q145;05/10/2015;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;chiwda tikha snacks;other food product / mixed;not serious;absence of health certificate(s);;;26/06/2015;absence of health certificate(s) for chiwda tikha snacks from India,,,,,,,,
2014.ATK;United Kingdom;Q145;Bangladesh;Q902;United Kingdom;Q145;13/05/2014;22/05/2014;food  -  border rejection  -  border control - consignment detained;destruction;paan leaves;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import paan leaves from Bangladesh,,,,,,,,
2017.AFK;United Kingdom;Q145;India;Q668;United Kingdom;Q145;07/02/2017;12/01/2018;food  -  border rejection  -  border control - consignment detained;destruction;peanut chikki and peanut ladoo;nuts, nut products and seeds;not serious;improper health certificate(s);;;;improper health certificate(s) for peanut chikki and peanut ladoo from India,,,,,,,
2017.BEK;United Kingdom;Q145;India;Q668;United Kingdom;Q145;27/06/2017;27/06/2017;food  -  border rejection  -  border control - consignment detained;destruction;red chilli powder;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for red chilli powder from India,,,,,,,,
2017.AXI;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;22/05/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;watermelon seeds;nuts, nut products and seeds;not serious;attempt to illegally import;;;;attempt to illegally import and absence of health certificate(s) and of certified analytical report for watermelon seeds from Nigeria,,,,,,,
2013.BWD;United Kingdom;Q145;India;Q668;United Kingdom;Q145;29/10/2013;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;roasted groundnuts;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for roasted groundnuts from India,,,,,,,
2017.ATP;United Kingdom;Q145;India;Q668;United Kingdom;Q145;28/04/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;curry leaves;fruits and vegetables;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for curry leaves from India,,,,,,,,
2017.AHF;United Kingdom;Q145;India;Q668;United Kingdom;Q145;15/02/2017;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;chilli powder;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for chilli powder from India,,,,,,,,
20.121.036;United Kingdom;Q145;Philippines;Q928;United Kingdom;Q145;20/07/2012;13/08/2012;food  -  information for attention  -  official control on the market;;milk product;milk and milk products;undecided;illegal import;product manufactured in the Philippines has been found to contain a non-approved dairy ingredient supplied from a third country not approved for supply of milk or milk based products;;;illegal import (product manufactured in the Philippines has been found to contain a non-approved dairy ingredient supplied from a third country not approved for supply of milk or milk based products) of milk product from the Philippines,,,,,,,,
2014.AKO;United Kingdom;Q145;India;Q668;United Kingdom;Q145;05/03/2014;11/03/2014;food  -  border rejection  -  border control - consignment detained;import not authorised;curry leaves;fruits and vegetables;not serious;absence of certified analytical report;;;;absence of certified analytical report for curry leaves from India,,,,,,,,
2016.AMQ;United Kingdom;Q145;India;Q668;United Kingdom;Q145;04/04/2016;31/05/2017;food  -  border rejection  -  border control - consignment detained;import not authorised;betel leaves;fruits and vegetables;not serious;origin unclear;;;;origin unclear of and absence of health certificate(s) and of certified analytical report for betel leaves from India, via Sri Lanka,,,,,,,
20.192.501;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;10/07/2019;10/07/2019;food  -  border rejection  -  border control - consignment detained;import not authorised;smoked fish;fish and fish products;not serious;attempt to illegally import;;;;attempt to illegally import smoked fish from Ghana,,,,,,,,
20.192.521;United Kingdom;Q145;Ghana;Q117;United Kingdom;Q145;11/07/2019;17/07/2019;food  -  border rejection  -  border control - consignment detained;destruction;smoked fish;fish and fish products;not serious;attempt to illegally import;;;;attempt to illegally import smoked fish from Ghana,,,,,,,,
20.192.027;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;03/06/2019;06/06/2019;food  -  border rejection  -  border control - consignment detained;import not authorised;smoked catfish and other products (cow hide, chicken, milk powder, honey, dried beans & melon seeds);fish and fish products;not serious;attempt to illegally import;;;;attempt to illegally import smoked catfish and other products (cow hide, chicken, milk powder, honey, dried beans & melon seeds) from Nigeria
2015.BDH;United Kingdom;Q145;Nigeria;Q1033;United Kingdom;Q145;09/07/2015;09/07/2015;food  -  border rejection  -  border control - consignment detained;destruction;dried beans;fruits and vegetables;not serious;absence of Common Entry Document (CED);;;;absence of Common Entry Document (CED) for dried beans from Nigeria,,,,,,,,
